key,val
3981301031.0167772162.01852.080.0,s40-eth1
1568775753.0167772162.01853.080.0,s37-eth1
1055809978.0167772162.01854.080.0,s38-eth1
211048936.0167772162.01855.080.0,s39-eth1
2974105314.0167772162.01856.080.0,s40-eth1
2154408930.0167772162.01857.080.0,s37-eth1
1203300065.0167772162.01858.080.0,s38-eth1
2113186373.0167772162.01859.080.0,s39-eth1
1581214181.0167772162.01860.080.0,s40-eth1
2098089374.0167772162.01861.080.0,s37-eth1
1743261193.0167772162.01862.080.0,s38-eth1
1460227997.0167772162.01863.080.0,s39-eth1
1525410202.0167772162.01864.080.0,s40-eth1
2460983709.0167772162.01865.080.0,s37-eth1
2833624414.0167772162.01866.080.0,s38-eth1
1269922023.0167772162.01867.080.0,s39-eth1
2512925875.0167772162.01868.080.0,s40-eth1
2612717194.0167772162.01869.080.0,s37-eth1
4294953898.0167772162.01870.080.0,s38-eth1
2080053914.0167772162.01871.080.0,s39-eth1
532868766.0167772162.01872.080.0,s40-eth1
3114797437.0167772162.01873.080.0,s37-eth1
2348529917.0167772162.01874.080.0,s38-eth1
1186726744.0167772162.01875.080.0,s39-eth1
1895924570.0167772162.01876.080.0,s40-eth1
3842601150.0167772162.01877.080.0,s37-eth1
208250779.0167772162.01878.080.0,s38-eth1
245912341.0167772162.01879.080.0,s39-eth1
1263249183.0167772162.01880.080.0,s40-eth1
1761934780.0167772162.01881.080.0,s37-eth1
3813539198.0167772162.01882.080.0,s38-eth1
2451301373.0167772162.01883.080.0,s39-eth1
588157864.0167772162.01884.080.0,s40-eth1
469584811.0167772162.01885.080.0,s37-eth1
3472877970.0167772162.01886.080.0,s38-eth1
1697082183.0167772162.01887.080.0,s39-eth1
1089351850.0167772162.01888.080.0,s40-eth1
153964300.0167772162.01889.080.0,s37-eth1
4215471518.0167772162.01890.080.0,s38-eth1
2348335085.0167772162.01891.080.0,s39-eth1
206030691.0167772162.01892.080.0,s40-eth1
1737137585.0167772162.01893.080.0,s37-eth1
3863550535.0167772162.01894.080.0,s38-eth1
2467553991.0167772162.01895.080.0,s39-eth1
2779303177.0167772162.01896.080.0,s40-eth1
1776479771.0167772162.01897.080.0,s37-eth1
2722544917.0167772162.01898.080.0,s38-eth1
3122407423.0167772162.01899.080.0,s39-eth1
3231645671.0167772162.01900.080.0,s40-eth1
2971319996.0167772162.01901.080.0,s37-eth1
2099030931.0167772162.01902.080.0,s38-eth1
1973340206.0167772162.01903.080.0,s39-eth1
2979176147.0167772162.01904.080.0,s40-eth1
1804853921.0167772162.01905.080.0,s37-eth1
208386787.0167772162.01906.080.0,s38-eth1
1765041291.0167772162.01907.080.0,s39-eth1
3983108391.0167772162.01908.080.0,s40-eth1
1050382925.0167772162.01909.080.0,s37-eth1
1083273709.0167772162.01910.080.0,s38-eth1
4184416783.0167772162.01911.080.0,s39-eth1
3544528102.0167772162.01912.080.0,s40-eth1
1885930505.0167772162.01913.080.0,s37-eth1
4002585443.0167772162.01914.080.0,s38-eth1
2462012230.0167772162.01915.080.0,s39-eth1
3979300798.0167772162.01916.080.0,s40-eth1
3894640061.0167772162.01917.080.0,s37-eth1
1982503797.0167772162.01918.080.0,s38-eth1
3802952082.0167772162.01919.080.0,s39-eth1
768127593.0167772162.01920.080.0,s40-eth1
2646668285.0167772162.01921.080.0,s37-eth1
1404584482.0167772162.01922.080.0,s38-eth1
669943641.0167772162.01923.080.0,s39-eth1
3846612475.0167772162.01924.080.0,s40-eth1
592292042.0167772162.01925.080.0,s37-eth1
1454141479.0167772162.01926.080.0,s38-eth1
3982796556.0167772162.01927.080.0,s39-eth1
469286840.0167772162.01928.080.0,s40-eth1
2868579067.0167772162.01929.080.0,s37-eth1
1300768641.0167772162.01930.080.0,s38-eth1
3465872161.0167772162.01931.080.0,s39-eth1
3819727334.0167772162.01932.080.0,s40-eth1
1393159713.0167772162.01933.080.0,s37-eth1
1911438560.0167772162.01934.080.0,s38-eth1
2072396638.0167772162.01935.080.0,s39-eth1
331891602.0167772162.01936.080.0,s40-eth1
3255593061.0167772162.01937.080.0,s37-eth1
1181287275.0167772162.01938.080.0,s38-eth1
211927130.0167772162.01939.080.0,s39-eth1
3347764030.0167772162.01940.080.0,s40-eth1
2944823400.0167772162.01941.080.0,s37-eth1
1466482885.0167772162.01942.080.0,s38-eth1
1307131406.0167772162.01943.080.0,s39-eth1
1548983655.0167772162.01944.080.0,s40-eth1
3008690450.0167772162.01945.080.0,s37-eth1
3808406324.0167772162.01946.080.0,s38-eth1
581266187.0167772162.01947.080.0,s39-eth1
3993644499.0167772162.01948.080.0,s40-eth1
1644159873.0167772162.01949.080.0,s37-eth1
2816714214.0167772162.01950.080.0,s38-eth1
4256242672.0167772162.01951.080.0,s39-eth1
1693989989.0167772162.01952.080.0,s40-eth1
2852756862.0167772162.01953.080.0,s37-eth1
2455177481.0167772162.01954.080.0,s38-eth1
3372134769.0167772162.01955.080.0,s39-eth1
3995061806.0167772162.01956.080.0,s40-eth1
448003833.0167772162.01957.080.0,s37-eth1
1764619367.0167772162.01958.080.0,s38-eth1
2102353634.0167772162.01959.080.0,s39-eth1
4212298345.0167772162.01960.080.0,s40-eth1
2464238563.0167772162.01961.080.0,s37-eth1
3419934445.0167772162.01962.080.0,s38-eth1
2874014149.0167772162.01963.080.0,s39-eth1
1778165587.0167772162.01964.080.0,s40-eth1
967323629.0167772162.01965.080.0,s37-eth1
786633387.0167772162.01966.080.0,s38-eth1
2640922304.0167772162.01967.080.0,s39-eth1
2023632786.0167772162.01968.080.0,s40-eth1
1761516129.0167772162.01969.080.0,s37-eth1
4039896043.0167772162.01970.080.0,s38-eth1
3152550651.0167772162.01971.080.0,s39-eth1
2809911442.0167772162.01972.080.0,s40-eth1
1675828135.0167772162.01973.080.0,s37-eth1
2598480476.0167772162.01974.080.0,s38-eth1
1498221515.0167772162.01975.080.0,s39-eth1
2477482491.0167772162.01976.080.0,s40-eth1
3815318377.0167772162.01977.080.0,s37-eth1
3998810082.0167772162.01978.080.0,s38-eth1
4260225527.0167772162.01979.080.0,s39-eth1
3369866827.0167772162.01980.080.0,s40-eth1
1236292477.0167772162.01981.080.0,s37-eth1
4214285894.0167772162.01982.080.0,s38-eth1
3353525318.0167772162.01983.080.0,s39-eth1
1889211369.0167772162.01984.080.0,s40-eth1
1054984898.0167772162.01985.080.0,s37-eth1
2964024184.0167772162.01986.080.0,s38-eth1
3769761209.0167772162.01987.080.0,s39-eth1
2257132307.0167772162.01988.080.0,s40-eth1
1108779470.0167772162.01989.080.0,s37-eth1
660493293.0167772162.01990.080.0,s38-eth1
2875839867.0167772162.01991.080.0,s39-eth1
2832037141.0167772162.01992.080.0,s40-eth1
748876988.0167772162.01993.080.0,s37-eth1
787188117.0167772162.01994.080.0,s38-eth1
187667825.0167772162.01995.080.0,s39-eth1
2866894696.0167772162.01996.080.0,s40-eth1
2589903429.0167772162.01997.080.0,s37-eth1
3234396008.0167772162.01998.080.0,s38-eth1
1587372815.0167772162.01999.080.0,s39-eth1
323120842.0167772162.02000.080.0,s40-eth1
805608171.0167772162.02001.080.0,s37-eth1
2261458013.0167772162.02002.080.0,s38-eth1
1890106121.0167772162.02003.080.0,s39-eth1
2710218114.0167772162.02004.080.0,s40-eth1
744719222.0167772162.02005.080.0,s37-eth1
2909375499.0167772162.02006.080.0,s38-eth1
3233788589.0167772162.02007.080.0,s39-eth1
3364971748.0167772162.02008.080.0,s40-eth1
4101959281.0167772162.02009.080.0,s37-eth1
82400203.0167772162.02010.080.0,s38-eth1
4276871931.0167772162.02011.080.0,s39-eth1
3775118512.0167772162.02012.080.0,s40-eth1
1777834980.0167772162.02013.080.0,s37-eth1
2270885644.0167772162.02014.080.0,s38-eth1
2948314031.0167772162.02015.080.0,s39-eth1
1235325731.0167772162.02016.080.0,s40-eth1
967172627.0167772162.02017.080.0,s37-eth1
2203526905.02745765793.062798.020008.0,s38-eth1
2203521666.0390130025.054650.0443.0,s39-eth1
3391879469.03417081032.052675.080.0,s40-eth1
2529098652.01919598145.080.047810.0,s37-eth1
2247453276.03402067757.021898.0443.0,s38-eth1
2736685042.03221329567.056928.0443.0,s39-eth1
2203535306.01158672977.034620.0443.0,s40-eth1
3389443395.03054700186.048989.0443.0,s37-eth1
2203521666.02887326168.054646.0443.0,s38-eth1
3417081029.03402060113.0443.026055.0,s39-eth1
3542517196.02529098652.059254.080.0,s40-eth1
2203521666.02887326007.054640.0443.0,s37-eth1
3299396354.03389449905.062067.09042.0,s38-eth1
2203524282.01256344815.056734.0993.0,s39-eth1
1917794698.02529098652.056400.080.0,s40-eth1
2699203292.02529098652.053106.080.0,s37-eth1
3389795842.0287143891.052484.080.0,s38-eth1
3417081067.01758776770.022647.0443.0,s39-eth1
2529098652.02575102202.080.026096.0,s40-eth1
2203520518.0603626006.0993.033352.0,s37-eth1
2203534295.02887326796.055296.0443.0,s38-eth1
2246405415.01256343660.060139.0993.0,s39-eth1
2529098652.01888888891.080.053810.0,s40-eth1
3389795842.01747451981.063806.0443.0,s37-eth1
2203520518.0597912256.0993.024090.0,s38-eth1
2736684006.01972561093.059186.0443.0,s39-eth1
3685640215.03417081032.062072.080.0,s40-eth1
2203567741.02887325969.033695.0443.0,s37-eth1
2635419068.02691834666.038955.080.0,s38-eth1
3389795842.0876018697.062749.021599.0,s39-eth1
3739263149.03417081029.049162.0443.0,s40-eth1
3389795842.0232715911.062338.0443.0,s37-eth1
2736667273.01256344829.039552.05222.0,s38-eth1
2736678207.01758776769.058117.0443.0,s39-eth1
3389795842.0287143893.055985.080.0,s40-eth1
3389795842.01256369525.056658.0443.0,s37-eth1
2529098652.01917786765.080.025389.0,s38-eth1
2529098652.0238588164.080.014548.0,s39-eth1
2529098652.03106670142.0443.060399.0,s40-eth1
2247452458.03390521636.040486.080.0,s37-eth1
3389795842.0286812137.053815.0443.0,s38-eth1
2529098652.02570999412.080.061837.0,s39-eth1
2529098652.0238588164.080.05935.0,s40-eth1
2529098652.01742231126.080.031690.0,s37-eth1
2349488434.03404929881.056010.053.0,s38-eth1
2203520518.0603626006.0993.058990.0,s39-eth1
3389795842.02918454763.058360.0443.0,s40-eth1
2529098652.01980033896.0443.063216.0,s37-eth1
2529070520.03698792201.080.062236.0,s38-eth1
2736658400.0597974642.052109.0443.0,s39-eth1
2887326447.02203480281.0443.04622.0,s40-eth1
2349488434.03404929881.037926.053.0,s37-eth1
2529098652.01941188906.080.050048.0,s38-eth1
3417081683.0520180363.050872.0443.0,s39-eth1
3389795842.02411961366.065227.0443.0,s40-eth1
2203567741.02887325969.043928.0443.0,s37-eth1
2887325783.03417079836.0443.022502.0,s38-eth1
3389795842.01747451981.063805.0443.0,s39-eth1
2529070520.03698792201.080.061950.0,s40-eth1
3389795842.0875674217.063827.0443.0,s37-eth1
2942547953.02247131549.08735.02323.0,s38-eth1
2529098652.03743097482.080.061320.0,s39-eth1
3417081513.02577640681.043085.01883.0,s40-eth1
2887326794.02529098506.080.064087.0,s37-eth1
2246440352.01736118650.053434.0443.0,s38-eth1
2203520518.0603626006.0993.058994.0,s39-eth1
2736656032.0520180403.058960.0443.0,s40-eth1
3538947156.02529098652.057399.080.0,s37-eth1
2529098652.03670308601.080.047911.0,s38-eth1
3389795842.02411961366.059850.0443.0,s39-eth1
620072965.02529098652.056297.061201.0,s40-eth1
3389443395.01256366372.02200.0443.0,s37-eth1
620072965.02529098652.056858.021.0,s38-eth1
620072965.02529098652.056857.021.0,s39-eth1
